"","Home ID","Day","Home_pts","Away_pts","Spread_Pred","Spread","Home_oreb","Away_oreb","Home_FGPct","Away_FGPct","Home_3Pct","Away_3Pct","Home_Steals","Away_Steals"
"131",1610612765,18,88,112,NA,-24,9,10,0.373,0.543,0.351351351,0.423076923,10,5
"132",1610612737,19,124,121,4.5,3,12,19,0.456,0.435,0.25,0.304347826,12,8
"133",1610612743,19,126,101,12,25,10,6,0.609,0.488,0.517241379,0.4,10,8
"134",1610612749,19,108,94,5.5,14,18,9,0.422,0.429,0.361702128,0.342857143,7,6
"135",1610612750,19,129,117,9.5,12,9,12,0.613,0.476,0.454545455,0.421052632,11,10
"136",1610612752,19,118,133,-2,-15,12,8,0.511,0.534,0.407407407,0.529411765,6,5
"137",1610612753,19,123,126,-1.5,-3,7,6,0.543,0.505,0.173913043,0.375,8,5
"138",1610612756,19,102,82,12.5,20,11,8,0.427,0.38,0.366666667,0.466666667,7,5
"139",1610612766,19,94,98,1,-4,13,9,0.372,0.393,0.333333333,0.333333333,3,8
"140",1610612746,20,102,110,2,-8,4,7,0.494,0.467,0.242424242,0.375,11,5
"141",1610612747,20,100,114,-2.5,-14,10,9,0.46,0.44,0.296296296,0.25,4,7
"142",1610612761,20,113,104,7.5,9,23,15,0.427,0.455,0.27027027,0.361111111,11,5
"143",1610612763,20,103,97,11,6,12,15,0.429,0.427,0.310344828,0.195121951,8,5
"144",1610612737,21,117,98,0.5,19,12,6,0.465,0.414,0.379310345,0.325,11,5
"145",1610612741,21,111,97,-2.5,14,9,5,0.525,0.424,0.321428571,0.321428571,7,10
"146",1610612742,21,96,94,6.5,2,12,14,0.444,0.438,0.428571429,0.344827586,7,13
"147",1610612744,21,116,113,7,3,8,9,0.5,0.407,0.368421053,0.35,5,9
"148",1610612746,21,119,117,NA,2,4,10,0.506,0.518,0.447368421,0.484848485,8,6
"149",1610612748,21,107,110,8.5,-3,5,4,0.476,0.528,0.358974359,0.432432432,11,7
"150",1610612750,21,107,120,3.5,-13,4,9,0.469,0.438,0.268292683,0.395833333,7,13
"151",1610612753,21,127,134,5,-7,11,14,0.549,0.529,0.48,0.5,7,9
"152",1610612754,21,129,122,-1,7,10,13,0.5,0.495,0.458333333,0.411764706,6,7
"153",1610612755,21,100,88,2.5,12,15,6,0.388,0.438,0.375,0.315789474,5,8
"154",1610612759,21,109,115,-3.5,-6,10,8,0.524,0.534,0.363636364,0.333333333,14,14
"155",1610612762,21,139,116,10.5,23,10,7,0.558,0.488,0.421052632,0.375,10,7
"156",1610612763,21,106,109,-1,-3,8,7,0.451,0.463,0.340909091,0.324324324,4,5
"157",1610612765,21,112,103,0.5,9,16,16,0.419,0.402,0.272727273,0.303030303,6,9
"158",1610612766,21,100,108,6,-8,17,10,0.416,0.525,0.15625,0.263157895,8,2
"159",1610612737,23,119,125,3,-6,17,13,0.468,0.468,0.285714286,0.435897436,5,5
"160",1610612738,23,128,112,13.5,16,8,15,0.534,0.416,0.391304348,0.212121212,5,7
"161",1610612741,23,111,115,NA,-4,6,13,0.506,0.5,0.259259259,0.157894737,5,8
"162",1610612746,23,114,101,5,13,6,8,0.506,0.455,0.363636364,0.3125,10,7
"163",1610612750,23,117,129,2.5,-12,8,10,0.526,0.485,0.333333333,0.457142857,4,10
"164",1610612751,23,112,85,2,27,11,11,0.483,0.322,0.411764706,0.279069767,11,5
"165",1610612753,23,94,87,-8,7,4,4,0.493,0.376,0.380952381,0.261904762,1,14
"166",1610612754,23,119,122,-2,-3,11,11,0.469,0.489,0.333333333,0.428571429,9,10
"167",1610612758,23,127,120,-2.5,7,2,12,0.526,0.535,0.435897436,0.423076923,12,4
"168",1610612759,23,122,124,-3,-2,13,18,0.48,0.51,0.324324324,0.4375,8,4
"169",1610612760,23,132,136,2,-4,16,11,0.45,0.472,0.4,0.472222222,9,8
"170",1610612761,23,116,109,13.5,7,22,16,0.412,0.44,0.340909091,0.257142857,12,9
"171",1610612766,23,95,105,3.5,-10,20,8,0.374,0.533,0.25,0.323529412,10,5
"172",1610612737,24,104,95,0.5,9,11,9,0.443,0.386,0.230769231,0.2,8,10
"173",1610612740,24,95,106,12,-11,9,11,0.418,0.435,0.357142857,0.352941176,3,8
"174",1610612748,24,117,112,9.5,5,8,8,0.433,0.489,0.277777778,0.358974359,9,4
"175",1610612764,24,113,105,-6,8,8,7,0.488,0.43,0.4,0.382978723,5,9
"176",1610612738,25,131,112,5,19,10,11,0.556,0.457,0.432432432,0.413793103,3,3
"177",1610612744,25,106,101,2.5,5,8,14,0.488,0.402,0.416666667,0.266666667,5,6
"178",1610612747,25,114,120,0.5,-6,14,10,0.477,0.517,0.4,0.333333333,11,10
"179",1610612752,25,121,112,8.5,9,16,12,0.447,0.463,0.25,0.225806452,7,6
"180",1610612753,25,114,97,-5,17,9,11,0.524,0.4,0.454545455,0.30952381,2,7
"181",1610612759,25,111,93,3.5,18,9,21,0.506,0.327,0.387096774,0.279069767,3,7
"182",1610612760,25,132,113,-5.5,19,15,14,0.559,0.432,0.416666667,0.366666667,10,13
"183",1610612763,25,114,103,5,11,15,7,0.5,0.468,0.212121212,0.333333333,8,10
"184",1610612740,26,119,106,12,13,12,10,0.488,0.506,0.275862069,0.333333333,13,7
"185",1610612742,26,117,112,9.5,5,7,12,0.506,0.45,0.325581395,0.419354839,8,6
"186",1610612746,26,95,110,3,-15,10,6,0.4,0.482,0.35483871,0.457142857,4,9
"187",1610612748,26,132,115,6.5,17,9,4,0.527,0.511,0.390243902,0.290322581,7,4
"188",1610612754,26,118,104,1.5,14,11,16,0.5,0.394,0.441860465,0.2,4,12
"189",1610612755,26,121,109,1.5,12,2,12,0.55,0.449,0.333333333,0.25,10,4
"190",1610612764,26,121,112,-4,9,6,7,0.5,0.468,0.444444444,0.35,6,4
"191",1610612765,26,108,117,-9,-9,11,9,0.416,0.429,0.421052632,0.375,4,6
"192",1610612739,27,124,129,NA,-5,16,11,0.449,0.561,0.5,0.5,6,5
"193",1610612741,27,103,126,NA,-23,8,5,0.494,0.6,0.272727273,0.481481481,9,11
"194",1610612747,27,116,103,-0.5,13,12,8,0.484,0.45,0.407407407,0.259259259,3,5
"195",1610612752,27,135,145,7,-10,13,4,0.495,0.625,0.322580645,0.548387097,13,9
"196",1610612755,27,105,98,3,7,8,18,0.482,0.394,0.173913043,0.297297297,12,3
