Game_id,Day,Home_ID,Away_ID,Home_pts,Away_pts,Spread,Home_oreb,Away_oreb,Home_FGPct,Away_FGPct,Home_3Pct,Away_3Pct,Home_Steals,Away_Steals,Home_TPG,Away_TPG,Home_TSG,Away_TSG,Home_TOG,Away_TOG,Home_PPG,Away_PPG,Home_SPG,Away_STG,Home_OPG,Away_OPG
22200073,11,1610612761,1610612755,90,112,-22,15,7,0.384,0.524,0.230769231,0.421052632,9,11,539,539,48,34,44,33,98.33333333,92.66666667,6.5,7.666666667,10.16666667,9.166666667
22200078,11,1610612743,1610612762,117,101,16,17,8,0.459,0.418,0.459459459,0.256410256,2,7,572,594,41,53,50,74,89.83333333,89.83333333,8,5.666666667,7.333333333,5.5
22200074,11,1610612764,1610612754,117,127,-10,9,5,0.477,0.506,0.4,0.517241379,5,4,443,580,29,30,32,66,95.33333333,99,6.833333333,8.833333333,8.333333333,12.33333333
22200070,11,1610612765,1610612737,112,136,-24,14,10,0.43,0.567,0.21875,0.413793103,2,5,546,452,32,36,63,39,88.6,96.66666667,5.8,5,6.4,11
22200071,11,1610612753,1610612766,113,93,20,5,10,0.494,0.384,0.27027027,0.289473684,8,3,521,498,31,32,55,48,91,90.4,5.333333333,7.2,10.5,7.8
22200085,12,1610612749,1610612737,123,115,8,14,12,0.489,0.479,0.388888889,0.448275862,8,5,444,588,26,41,48,49,86.83333333,99.6,5.166666667,6.4,9.166666667,9.6
22200083,12,1610612751,1610612754,116,125,-9,6,17,0.5,0.426,0.358974359,0.5,6,7,565,707,34,34,51,71,88.8,98,5.2,6.833333333,9.6,8.166666667
22200084,12,1610612741,1610612755,109,114,-5,9,8,0.45,0.494,0.35483871,0.482758621,7,8,680,651,59,45,70,40,94.16666667,101,5.666666667,4.857142857,8.5,10.14285714
22200081,12,1610612758,1610612748,119,113,6,6,9,0.553,0.427,0.451612903,0.392857143,1,7,125,643,5,50,11,56,97.14285714,93,8.428571429,6.428571429,10,5.714285714
22200086,12,1610612742,1610612760,111,117,-6,12,9,0.4,0.494,0.2,0.2,8,9,482,557,29,45,38,71,25,91.85714286,1,7.142857143,2.2,8
22200087,12,1610612762,1610612763,124,123,1,10,10,0.517,0.568,0.431818182,0.444444444,8,11,695,599,60,30,82,66,96.4,92.83333333,5.8,7.5,7.6,11.83333333
22200082,12,1610612766,1610612744,120,113,7,15,10,0.422,0.44,0.322580645,0.295454545,2,8,591,604,35,39,58,50,99.28571429,99.83333333,8.571428571,5,11.71428571,11
22200088,13,1610612746,1610612740,91,112,-21,8,12,0.419,0.495,0.282051282,0.416666667,3,9,513,599,36,43,41,63,98.5,100.6666667,5.833333333,6.5,9.666666667,8.333333333
22200095,13,1610612747,1610612743,121,110,11,13,13,0.479,0.427,0.433333333,0.375,5,3,511,689,50,43,46,67,85.5,99.83333333,6,7.166666667,6.833333333,10.5
22200090,13,1610612739,1610612752,121,108,13,10,12,0.461,0.489,0.46,0.37037037,3,9,585,599,30,29,51,72,85.16666667,98.42857143,8.333333333,6.142857143,7.666666667,9.571428571
22200093,13,1610612742,1610612753,114,105,9,5,11,0.494,0.457,0.314285714,0.379310345,10,2,593,634,37,39,50,60,97.5,99.83333333,5,4.833333333,8.5,12
22200094,13,1610612756,1610612745,124,109,15,10,17,0.536,0.437,0.3,0.323529412,9,7,588,660,38,41,58,87,98.83333333,90.57142857,6.166666667,5.571428571,8.333333333,8.571428571
22200092,13,1610612759,1610612750,107,98,9,14,16,0.419,0.404,0.4,0.137931034,6,11,719,708,46,49,69,71,98,94.28571429,6.333333333,5.857142857,9.666666667,12.42857143
22200089,13,1610612738,1610612764,112,94,18,4,15,0.456,0.388,0.446808511,0.21875,4,5,588,560,31,34,44,41,102.7142857,101.1428571,6.571428571,7,9.857142857,10.14285714
22200091,13,1610612765,1610612744,128,114,14,12,13,0.482,0.424,0.424242424,0.307692308,4,8,658,717,34,47,77,60,98,93.33333333,5.166666667,5.666666667,7.333333333,6.833333333
22200102,14,1610612746,1610612745,95,93,2,8,7,0.425,0.386,0.25,0.285714286,7,9,604,769,39,48,49,104,94,102.4285714,4.857142857,6.714285714,11,8.571428571
22200098,14,1610612751,1610612754,116,109,7,6,10,0.538,0.471,0.366666667,0.282051282,11,11,681,832,40,41,57,88,86.28571429,96.125,5.571428571,6,7,13
22200099,14,1610612761,1610612737,139,109,30,12,7,0.5,0.464,0.411764706,0.379310345,13,1,629,703,57,46,59,61,97.28571429,104,5.714285714,5.125,8.142857143,11
22200101,14,1610612762,1610612763,121,105,16,11,18,0.472,0.413,0.404255319,0.230769231,10,8,819,722,68,41,92,76,89.85714286,100.4285714,8.142857143,6.571428571,8.428571429,8.714285714
22200097,14,1610612764,1610612755,111,118,-7,9,4,0.469,0.554,0.4,0.4,8,14,654,765,39,53,56,48,102.375,103.1428571,8.5,5.857142857,11.5,10.85714286
22200100,14,1610612749,1610612765,110,108,2,14,13,0.437,0.446,0.275,0.275862069,5,9,567,786,34,38,62,89,93.42857143,95.625,5.571428571,6.625,8,6
22200096,14,1610612766,1610612758,108,115,-7,6,10,0.512,0.435,0.482758621,0.386363636,11,8,711,756,37,57,73,65,94.5,98.25,5.666666667,4.75,10.33333333,11.125
22200103,15,1610612751,1610612741,99,108,-9,4,11,0.486,0.438,0.375,0.4,4,8,797,789,51,66,63,79,101.5714286,126,5.285714286,9.5,10.42857143,10.83333333
22200104,15,1610612748,1610612744,116,109,7,9,10,0.455,0.464,0.380952381,0.367346939,7,8,756,831,57,55,65,73,99.625,98.625,6.375,8.25,7.875,9.875
