"Game_id","Day","Home_ID","Away_ID","Home_pts","Away_pts","Spread","Home_oreb","Away_oreb","Home_FGPct","Away_FGPct","Home_3Pct","Away_3Pct","Home_Steals","Away_Steals"
22200135,19,1610612752,1610612738,118,133,-15,12,8,0.511,0.534,0.407407407407407,0.529411764705882,6,5
22200132,19,1610612753,1610612758,123,126,-3,7,6,0.543,0.505,0.173913043478261,0.375,8,5
22200141,20,1610612761,1610612741,113,104,9,23,15,0.427,0.455,0.27027027027027,0.361111111111111,11,5
22200140,20,1610612747,1610612739,100,114,-14,10,9,0.46,0.44,0.296296296296296,0.25,4,7
22200142,20,1610612763,1610612764,103,97,6,12,15,0.429,0.427,0.310344827586207,0.195121951219512,8,5
22200143,20,1610612746,1610612762,102,110,-8,4,7,0.494,0.467,0.242424242424242,0.375,11,5
22200149,21,1610612737,1610612749,117,98,19,12,6,0.465,0.414,0.379310344827586,0.325,11,5
22200157,21,1610612762,1610612747,139,116,23,10,7,0.558,0.488,0.421052631578947,0.375,10,7
22200145,21,1610612753,1610612745,127,134,-7,11,14,0.549,0.529,0.48,0.5,7,9
22200147,21,1610612754,1610612740,129,122,7,10,13,0.5,0.495,0.458333333333333,0.411764705882353,6,7
22200144,21,1610612766,1610612764,100,108,-8,17,10,0.416,0.525,0.15625,0.263157894736842,8,2
22200151,21,1610612741,1610612761,111,97,14,9,5,0.525,0.424,0.321428571428571,0.321428571428571,7,10
22200150,21,1610612748,1610612757,107,110,-3,5,4,0.476,0.528,0.358974358974359,0.432432432432432,11,7
22200152,21,1610612763,1610612738,106,109,-3,8,7,0.451,0.463,0.340909090909091,0.324324324324324,4,5
22200155,21,1610612742,1610612751,96,94,2,12,14,0.444,0.438,0.428571428571429,0.344827586206897,7,13
22200153,21,1610612750,1610612752,107,120,-13,4,9,0.469,0.438,0.268292682926829,0.395833333333333,7,13
22200158,21,1610612746,1610612739,119,117,2,4,10,0.506,0.518,0.447368421052632,0.484848484848485,8,6
22200148,21,1610612755,1610612756,100,88,12,15,6,0.388,0.438,0.375,0.315789473684211,5,8
22200156,21,1610612744,1610612758,116,113,3,8,9,0.5,0.407,0.368421052631579,0.35,5,9
22200154,21,1610612759,1610612743,109,115,-6,10,8,0.524,0.534,0.363636363636364,0.333333333333333,14,14
22200146,21,1610612765,1610612760,112,103,9,16,16,0.419,0.402,0.272727272727273,0.303030303030303,6,9
22200165,23,1610612761,1610612745,116,109,7,22,16,0.412,0.44,0.340909090909091,0.257142857142857,12,9
22200159,23,1610612766,1610612757,95,105,-10,20,8,0.374,0.533,0.25,0.323529411764706,10,5
22200168,23,1610612760,1610612749,132,136,-4,16,11,0.45,0.472,0.4,0.472222222222222,9,8
22200171,23,1610612758,1610612739,127,120,7,2,12,0.526,0.535,0.435897435897436,0.423076923076923,12,4
22200169,23,1610612759,1610612763,122,124,-2,13,18,0.48,0.51,0.324324324324324,0.4375,8,4
22200166,23,1610612741,1610612740,111,115,-4,6,13,0.506,0.5,0.259259259259259,0.157894736842105,5,8
22200161,23,1610612753,1610612742,94,87,7,4,4,0.493,0.376,0.380952380952381,0.261904761904762,1,14
22200167,23,1610612750,1610612756,117,129,-12,8,10,0.526,0.485,0.333333333333333,0.457142857142857,4,10
22200163,23,1610612738,1610612765,128,112,16,8,15,0.534,0.416,0.391304347826087,0.212121212121212,5,7
22200170,23,1610612746,1610612747,114,101,13,6,8,0.506,0.455,0.363636363636364,0.3125,10,7
22200160,23,1610612754,1610612743,119,122,-3,11,11,0.469,0.489,0.333333333333333,0.428571428571429,9,10
22200162,23,1610612737,1610612762,119,125,-6,17,13,0.468,0.468,0.285714285714286,0.435897435897436,5,5
22200164,23,1610612751,1610612752,112,85,27,11,11,0.483,0.322,0.411764705882353,0.27906976744186,11,5
22200172,24,1610612764,1610612742,113,105,8,8,7,0.488,0.43,0.4,0.382978723404255,5,9
22200173,24,1610612737,1610612755,104,95,9,11,9,0.443,0.386,0.230769230769231,0.2,8,10
22200174,24,1610612748,1610612766,117,112,5,8,8,0.433,0.489,0.277777777777778,0.358974358974359,9,4
22200175,24,1610612740,1610612757,95,106,-11,9,11,0.418,0.435,0.357142857142857,0.352941176470588,3,8
22200182,25,1610612744,1610612739,106,101,5,8,14,0.488,0.402,0.416666666666667,0.266666666666667,5,6
22200179,25,1610612760,1610612761,132,113,19,15,14,0.559,0.432,0.416666666666667,0.366666666666667,10,13
22200176,25,1610612738,1610612743,131,112,19,10,11,0.556,0.457,0.432432432432432,0.413793103448276,3,3
22200181,25,1610612763,1610612750,114,103,11,15,7,0.5,0.468,0.212121212121212,0.333333333333333,8,10
22200178,25,1610612752,1610612765,121,112,9,16,12,0.447,0.463,0.25,0.225806451612903,7,6
22200180,25,1610612759,1610612749,111,93,18,9,21,0.506,0.327,0.387096774193548,0.27906976744186,3,7
22200177,25,1610612753,1610612756,114,97,17,9,11,0.524,0.4,0.454545454545455,0.30952380952381,2,7
22200183,25,1610612747,1610612758,114,120,-6,14,10,0.477,0.517,0.4,0.333333333333333,11,10
22200188,26,1610612755,1610612737,121,109,12,2,12,0.55,0.449,0.333333333333333,0.25,10,4
22200184,26,1610612746,1610612751,95,110,-15,10,6,0.4,0.482,0.354838709677419,0.457142857142857,4,9
22200185,26,1610612764,1610612762,121,112,9,6,7,0.5,0.468,0.444444444444444,0.35,6,4
22200191,26,1610612740,1610612745,119,106,13,12,10,0.488,0.506,0.275862068965517,0.333333333333333,13,7
22200187,26,1610612754,1610612761,118,104,14,11,16,0.5,0.394,0.441860465116279,0.2,4,12
22200186,26,1610612765,1610612738,108,117,-9,11,9,0.416,0.429,0.421052631578947,0.375,4,6
22200189,26,1610612748,1610612766,132,115,17,9,4,0.527,0.511,0.390243902439024,0.290322580645161,7,4
22200190,26,1610612742,1610612757,117,112,5,7,12,0.506,0.45,0.325581395348837,0.419354838709677,8,6
22200195,27,1610612755,1610612762,105,98,7,8,18,0.482,0.394,0.173913043478261,0.297297297297297,12,3
22200193,27,1610612739,1610612750,124,129,-5,16,11,0.449,0.561,0.5,0.5,6,5
22200192,27,1610612752,1610612760,135,145,-10,13,4,0.495,0.625,0.32258064516129,0.548387096774194,13,9
22200196,27,1610612741,1610612743,103,126,-23,8,5,0.494,0.6,0.272727272727273,0.481481481481481,9,11
22200198,27,1610612747,1610612751,116,103,13,12,8,0.484,0.45,0.407407407407407,0.259259259259259,3,5
22200194,27,1610612764,1610612763,102,92,10,9,14,0.419,0.396,0.475,0.321428571428571,9,7
22200197,27,1610612758,1610612744,122,115,7,9,8,0.516,0.467,0.432432432432432,0.340425531914894,8,5
22200204,28,1610612749,1610612737,106,121,-15,11,13,0.415,0.478,0.206896551724138,0.35,4,4
22200202,28,1610612748,1610612756,113,112,1,17,20,0.458,0.485,0.454545454545455,0.388888888888889,6,9
22200199,28,1610612765,1610612761,111,115,-4,11,12,0.455,0.488,0.32258064516129,0.296296296296296,8,7
22200205,28,1610612744,1610612759,132,95,37,5,22,0.534,0.36,0.511111111111111,0.25,9,6
22200200,28,1610612753,1610612766,105,112,-7,22,14,0.409,0.477,0.388888888888889,0.2,3,15
22200201,28,1610612738,1610612760,126,122,4,10,10,0.479,0.48,0.27027027027027,0.366666666666667,15,4
22200203,28,1610612745,1610612746,106,122,-16,10,9,0.453,0.506,0.3,0.368421052631579,11,6
22200210,29,1610612758,1610612751,153,121,32,9,3,0.596,0.494,0.48780487804878,0.392857142857143,9,5
22200209,29,1610612757,1610612759,117,110,7,9,11,0.519,0.518,0.46875,0.310344827586207,6,7
22200208,29,1610612762,1610612752,111,118,-7,15,13,0.434,0.473,0.325581395348837,0.34375,7,10
22200207,29,1610612742,1610612746,103,101,2,8,3,0.438,0.531,0.395348837209302,0.428571428571429,12,8
