"Game_id","Home_ID","Away_ID","Home_pts","Away_pts","Spread","Home_oreb","Away_oreb","Matchup_ID"
22200585,1610612759,1610612765,121,109,12,7,15,5965
22200584,1610612760,1610612764,127,110,17,11,11,6064
22200586,1610612740,1610612751,102,108,-6,14,10,4051
22200582,1610612761,1610612752,108,112,-4,12,13,5261
22200580,1610612754,1610612757,108,99,9,4,12,5457
22200581,1610612755,1610612741,112,126,-14,12,8,4155
22200588,1610612743,1610612739,121,108,13,13,18,3943
22200590,1610612747,1610612737,130,114,16,7,7,3747
22200589,1610612756,1610612748,96,104,-8,8,5,4856
22200587,1610612750,1610612746,128,115,13,10,18,4650
22200591,1610612759,1610612738,116,121,-5,12,8,3859
22200592,1610612741,1610612762,126,118,8,7,7,4162
22200595,1610612758,1610612747,134,136,-2,13,10,4758
22200593,1610612742,1610612740,127,117,10,5,15,4042
22200594,1610612744,1610612753,101,115,-14,11,7,4453
22200600,1610612763,1610612762,123,118,5,13,8,6263
22200596,1610612765,1610612755,111,123,-12,10,14,5565
22200597,1610612761,1610612757,117,105,12,13,10,5761
22200604,1610612746,1610612737,108,112,-4,21,7,3746
22200598,1610612754,1610612766,116,111,5,8,13,5466
22200599,1610612748,1610612751,101,102,-1,16,6,4851
22200601,1610612745,1610612750,96,104,-8,12,9,4550
22200602,1610612760,1610612742,120,109,11,12,8,4260
22200603,1610612756,1610612739,98,112,-14,6,3,3956
22200605,1610612764,1610612740,112,132,-20,7,12,4064
22200610,1610612758,1610612753,136,111,25,11,9,5358
22200607,1610612752,1610612749,107,111,-4,18,12,4952
22200606,1610612738,1610612741,107,99,8,9,6,3841
22200609,1610612743,1610612747,122,109,13,14,11,4347
22200608,1610612763,1610612759,121,113,8,11,12,5963
22200613,1610612761,1610612766,132,120,12,18,6,6166
22200612,1610612755,1610612765,147,116,31,10,3,5565
22200617,1610612746,1610612742,113,101,12,12,3,4246
22200615,1610612744,1610612756,113,125,-12,16,19,4456
22200611,1610612748,1610612760,112,111,1,13,14,4860
22200616,1610612757,1610612753,106,109,-3,13,6,5357
22200614,1610612762,1610612739,116,114,2,15,7,3962
22200619,1610612764,1610612741,100,97,3,12,8,4164
22200625,1610612758,1610612745,135,115,20,9,8,4558
22200624,1610612743,1610612756,126,97,29,7,15,4356
22200623,1610612763,1610612759,135,129,6,17,17,5963
22200620,1610612737,1610612749,105,114,-9,6,14,3749
22200622,1610612752,1610612754,119,113,6,12,8,5254
22200621,1610612738,1610612740,125,114,11,11,4,3840
22200618,1610612765,1610612750,135,118,17,7,13,5065
22200629,1610612761,1610612766,124,114,10,8,9,6166
22200628,1610612748,1610612749,108,102,6,18,8,4849
22200626,1610612755,1610612760,114,133,-19,9,5,5560
22200630,1610612747,1610612742,115,119,-4,14,3,4247
22200627,1610612751,1610612738,98,109,-11,4,12,3851
22200631,1610612757,1610612739,113,119,-6,5,12,3957
22200632,1610612765,1610612740,110,116,-6,7,8,4065
22200634,1610612764,1610612752,108,112,-4,12,14,5264
22200633,1610612754,1610612737,111,113,-2,19,14,3754
22200635,1610612759,1610612744,113,144,-31,7,12,4459
22200637,1610612750,1610612756,121,116,5,4,9,5056
22200636,1610612741,1610612760,110,124,-14,10,12,4160
22200638,1610612762,1610612753,112,108,4,17,11,5362
22200639,1610612746,1610612743,103,115,-12,11,10,4346
22200640,1610612758,1610612745,139,114,25,14,12,4558
22200642,1610612766,1610612738,106,122,-16,10,14,3866
22200641,1610612748,1610612749,111,95,16,13,7,4849
