Away,Home,Spread_Pred
Hornets,Warriors,6
Nuggets,Kings,-3
Nets,Cavaliers,1.5
Clippers,Pistons,-3
Timberwolves,Heat,-3
Rockets,Bulls,7.5
Pacers,Pelicans,1.5
Jazz,Spurs,-3.5
Hornets,Trail Blazers,4
76ers,Knicks,1
Lakers,Mavericks,8.5
Bucks,Celtics,5.5
Grizzlies,Warriors,-5
Suns,Nuggets,6
Clippers,76ers,4.5
Spurs,Magic,5
Bulls,Knicks,7.5
Pistons,Hawks,9
Bucks,Nets,2
Timberwolves,Celtics,8
Raptors,Cavaliers,4.5
Mavericks,Rockets,-6.5
Pacers,Heat,4.5
Pelicans,Thunder,#N/A
Trail Blazers,Nuggets,8.5
Grizzlies,Suns,-0.5
Wizards,Kings,6
Hornets,Lakers,2.5
Spurs,Pelicans,8.5
Wizards,Jazz,8.5
Pistons,76ers,13.5
Bucks,Cavaliers,2.5
Bulls,Hawks,6
Warriors,Nets,11.5
Pacers,Celtics,10
Raptors,Knicks,1.5
Mavericks,Timberwolves,#N/A
Magic,Rockets,#N/A
Trail Blazers,Thunder,#N/A
Lakers,Kings,8.5
Hornets,Clippers,7.5
Jazz,Pistons,-1
Bulls,Heat,0.5
Warriors,Knicks,7.5
Wizards,Suns,5
Grizzlies,Nuggets,2.5
Raptors,76ers,6.5
Jazz,Cavaliers,5.5
Magic,Hawks,8.5
Mavericks,Timberwolves,-3.5
Bucks,Pelicans,1.5
Trail Blazers,Thunder,0.5
Spurs,Rockets,1.5
Lakers,Suns,15.5
Hornets,Kings,7.5
Magic,Celtics,11.5
Knicks,Pacers,-0.5
Nets,Pistons,-4.5
Warriors,Raptors,6
Bulls,Timberwolves,2
Hornets,Nuggets,10
Wizards,Lakers,2
Wizards,Clippers,4.5
Heat,Spurs,-6.5
Mavericks,Cavaliers,9
Grizzlies,Thunder,-10
Trail Blazers,Rockets,-0.5
Jazz,Bucks,3.5
Pelicans,Suns,3
Hawks,Hornets,2.5
Kings,Pistons,-2.5
Nets,Raptors,2.5
Warriors,76ers,11.5
Pacers,Cavaliers,6.5
Magic,Celtics,14
Timberwolves,Thunder,2
Knicks,Bulls,0.5
Trail Blazers,Mavericks,6
Nuggets,Lakers,-1
Heat,Rockets,8
Bucks,Grizzlies,3
Pelicans,Jazz,3
Suns,Clippers,-7.5
Hawks,Magic,-3
Pistons,Hornets,5.5
Warriors,Pacers,1.5
Knicks,Bulls,1.5
Kings,Raptors,6.5
Heat,Thunder,-3
Trail Blazers,Spurs,-2
Cavaliers,Mavericks,4
Wizards,Nuggets,12
Timberwolves,Clippers,5.5
Kings,76ers,6
Warriors,Bucks,2.5
Suns,Rockets,-4.5
Pelicans,Jazz,1.5
Celtics,Lakers,-3.5
Nets,Wizards,-1
Heat,Pacers,-0.5
Hawks,Grizzlies,12
Cavaliers,Spurs,-5.5
Thunder,Mavericks,9.5
Timberwolves,Trail Blazers,0.5
Celtics,Clippers,-4
Suns,Pelicans,4
Hornets,76ers,11
Lakers,Pistons,-1
Kings,Knicks,4
Raptors,Magic,-6.5
Bulls,Hawks,5
Bucks,Rockets,-7.5
Spurs,Heat,11
Nets,Pacers,14.5
Clippers,Wizards,-5.5
Thunder,Cavaliers,5
Mavericks,Bulls,5
Celtics,Warriors,-2.5
Jazz,Nuggets,12.5
Timberwolves,Trail Blazers,2
Knicks,Hornets,-2.5
Raptors,Magic,-7
Wizards,Pacers,4
Hawks,Nets,4.5
Lakers,76ers,8.5
Kings,Cavaliers,3.5
Pistons,Grizzlies,11
Suns,Pelicans,3
Timberwolves,Jazz,5
Bucks,Mavericks,2.5
Clippers,Heat,5.5
Rockets,Spurs,1.5
Nuggets,Trail Blazers,-1
Clippers,Magic,-5.5
Hawks,Knicks,1
Hornets,Nets,9
Lakers,Raptors,16.5
Pistons,Pelicans,12.5
Pacers,Timberwolves,5.5
Thunder,Grizzlies,11.5
Kings,Bucks,6.5
Wizards,Bulls,4
Warriors,Jazz,8.5
Celtics,Suns,#N/A
Pistons,Heat,6.5
Lakers,Cavaliers,5
Mavericks,Nuggets,4.5
Clippers,Hornets,-2
Bucks,Magic,-8
Celtics,Raptors,1
Thunder,Hawks,10
Heat,Grizzlies,-5.5
76ers,Rockets,-6.5
Suns,Mavericks,3.5
Pacers,Warriors,13.5
Nuggets,Pelicans,3
Suns,Spurs,-5.5
Celtics,Nets,-1.5
Bulls,Kings,1.5
Cavaliers,Knicks,-1
Lakers,Wizards,2.5
Grizzlies,Pistons,-5.5
Pacers,Trail Blazers,4.5
Mavericks,Knicks,#N/A
Kings,Clippers,#N/A
Bucks,Hornets,#N/A
Thunder,Timberwolves,8.5
Magic,Raptors,12.5
Rockets,Warriors,11
Trail Blazers,Jazz,9.5
Wizards,Hornets,-1
Nuggets,Hawks,0.5
Lakers,Bucks,8.5
Heat,Celtics,7.5
Magic,Cavaliers,12.5
Raptors,Nets,2
Pelicans,Spurs,-5
76ers,Grizzlies,3.5
Rockets,Suns,12.5
Pacers,Jazz,6
Bulls,Warriors,5
Mavericks,Pistons,-6
Hawks,Magic,-7
76ers,Cavaliers,1.5
Heat,Celtics,9
Bucks,Knicks,-2.5
Wizards,Nets,5
Grizzlies,Timberwolves,#N/A
Spurs,Thunder,1
Raptors,Pelicans,1.5
Bulls,Suns,5
Rockets,Nuggets,13
Clippers,Jazz,8
Pacers,Kings,3
Trail Blazers,Lakers,9.5
Knicks,Pistons,-3
Warriors,Mavericks,2.5
Clippers,Trail Blazers,2
Hawks,76ers,3.5
Timberwolves,Wizards,-0.5
Hornets,Celtics,14.5
Cavaliers,Raptors,5.5
Magic,Nets,13
Thunder,Pelicans,7.5
Bulls,Jazz,4.5
Rockets,Nuggets,13.5
Suns,Kings,-0.5
Pacers,Lakers,3
Trail Blazers,Nets,7.5
Warriors,Timberwolves,3.5
Pacers,Clippers,1.5
Heat,Hawks,3.5
Cavaliers,Pistons,-5
Grizzlies,Knicks,1
76ers,Magic,-3
Wizards,Celtics,8.5
Mavericks,Bucks,3.5
Mavericks,Raptors,1
Lakers,Spurs,3.5
Thunder,Rockets,#N/A
Jazz,Suns,5
Timberwolves,Hornets,-3.5
76ers,Magic,-2.5
Trail Blazers,Knicks,5.5
Hawks,Rockets,-6
Nets,Pacers,-0.5
Bulls,Thunder,-1.5
Cavaliers,Bucks,3
Lakers,Spurs,1.5
Pelicans,Grizzlies,0.5
Kings,Celtics,9.5
Wizards,Heat,2
Pistons,Suns,11.5
Jazz,Warriors,4.5
Nuggets,Clippers,-2.5
Timberwolves,Pacers,1
76ers,Hornets,4
Trail Blazers,Cavaliers,7
Nets,Raptors,#N/A
Mavericks,Celtics,5
Kings,Hawks,6.5
Wizards,Heat,1.5
Bulls,Bucks,6
Nuggets,Thunder,-2
Pelicans,Spurs,-4
Pistons,Jazz,12.5
Clippers,Warriors,6
Nets,76ers,-1
Kings,Grizzlies,5
Pistons,Nuggets,13.5
Lakers,Suns,8
Hawks,Cavaliers,#N/A
Magic,Pacers,10
Celtics,Bulls,-5
Warriors,Pelicans,14
Heat,Timberwolves,10
Knicks,Thunder,1
Trail Blazers,Bucks,8
Jazz,Clippers,1.5
Knicks,Suns,4.5
Hornets,Wizards,3
Pistons,Kings,8
Warriors,Rockets,-7
Grizzlies,Nets,3.5
Heat,Cavaliers,6.5
Nuggets,Mavericks,10.5
Spurs,Lakers,5.5
Raptors,Hawks,3.5
Magic,Pacers,10.5
Timberwolves,76ers,1
Jazz,Trail Blazers,1
Spurs,Clippers,8.5
Heat,Wizards,9.5
Hornets,Cavaliers,8
Bucks,76ers,3.5
Pacers,Rockets,-5.5
Thunder,Grizzlies,8.5
Magic,Bulls,8
Celtics,Pelicans,-1.5
Nuggets,Mavericks,11
Suns,Jazz,3.5
Knicks,Warriors,5
Pistons,Lakers,7
Nets,Trail Blazers,1.5
Spurs,Kings,4
Pistons,Clippers,10.5
Pacers,Hornets,3
