"","Home ID","Away ID","Game_id","Day","Home_pts","Away_pts","Spread_Pred","Spread","Home_oreb","Away_oreb","Home_FGPct","Away_FGPct","Home_3Pct","Away_3Pct","Home_Steals","Away_Steals","Home_TPG","Away_TPG","Home_TSG","Away_TSG","Home_TOG","Away_TOG","Home_PPG","Away_PPG","Home_SPG","Away_SPG","Home_OPG","Away_OPG","Matchup_ID","Left_ID","Right_ID","Left_pts","Right_pts","Left_FGPct","Right_FGPct","Left_oreb","Right_oreb","Left_3Pct","Right_3Pct","Left_TPG","Right_TPG","Left_TSG","Right_TSG","Left_TOG","Right_TOG","Left_PPG","Right_PPG","Left_SPG","Right_SPG","Left_OPG","Right_OPG"
"42",1610612747,1610612757,22200037,6,104,106,1.5,-2,10,13,0.446,0.44,0.181818182,0.37037037,9,6,206,228,25,19,17,24,71.33333333,72.66666667,5,6,5,5.666666667,4656,1610612746,1610612756,106,104,0.44,0.446,13,10,0.37037037,0.181818182,228,206,19,25,24,17,72.66666667,71.33333333,6,5,5.666666667,5
"43",1610612760,1610612750,22200041,6,106,116,-9,-10,11,12,0.436,0.523,0.219512195,0.294117647,7,9,225,241,16,11,26,35,82,71.33333333,7,5,6,5,3766,1610612737,1610612766,116,106,0.523,0.436,12,11,0.294117647,0.219512195,241,225,11,16,35,26,71.33333333,82,5,7,5,6
"44",1610612741,1610612738,22200047,7,120,102,-5,18,14,14,0.483,0.37,0.476190476,0.375,4,5,312,363,32,17,32,25,75,80.33333333,7.333333333,5.333333333,4.333333333,8.333333333,5455,1610612754,1610612755,102,120,0.37,0.483,14,14,0.375,0.476190476,363,312,17,32,25,32,80.33333333,75,5.333333333,7.333333333,8.333333333,4.333333333
"45",1610612745,1610612762,22200048,7,114,108,-5.5,6,17,18,0.422,0.473,0.314285714,0.34375,7,8,334,377,17,34,43,45,81,80.5,4,8.25,6.25,7,5059,1610612750,1610612759,108,114,0.473,0.422,18,17,0.34375,0.314285714,377,334,34,17,45,43,80.5,81,8.25,4,7,6.25
"46",1610612748,1610612761,22200045,7,90,98,4,-8,8,10,0.349,0.395,0.235294118,0.4375,5,6,324,322,16,33,25,28,89.25,88.25,5,5.5,11.75,8.25,4357,1610612743,1610612757,98,90,0.395,0.349,10,8,0.4375,0.235294118,322,324,33,16,28,25,88.25,89.25,5.5,5,8.25,11.75
"47",1610612750,1610612759,22200050,7,106,115,7,-9,10,14,0.442,0.457,0.258064516,0.324324324,7,11,357,353,20,22,47,33,83.5,88,6.25,6.25,9.25,7.75,5163,1610612751,1610612763,115,106,0.457,0.442,14,10,0.324324324,0.258064516,353,357,22,20,33,47,88,83.5,6.25,6.25,7.75,9.25
"48",1610612752,1610612753,22200046,7,115,102,11.5,13,18,13,0.462,0.419,0.297297297,0.2,7,6,242,327,11,19,29,32,78,90.75,8,4.25,8,6.25,5253,1610612752,1610612753,115,102,0.462,0.419,18,13,0.297297297,0.2,242,327,11,19,29,32,78,90.75,8,4.25,8,6.25
"49",1610612755,1610612754,22200044,7,120,106,9,14,7,14,0.475,0.422,0.441860465,0.272727273,8,3,310,365,20,22,22,46,80.66666667,81.75,3.666666667,4.75,9.666666667,8,4861,1610612748,1610612761,106,120,0.422,0.475,14,7,0.272727273,0.441860465,365,310,22,20,46,22,81.75,80.66666667,4.75,3.666666667,8,9.666666667
"50",1610612757,1610612743,22200051,7,135,110,-4,25,9,10,0.578,0.495,0.457142857,0.387096774,3,4,334,352,25,25,37,31,77.5,91.25,5,5.5,5.5,11.5,3841,1610612738,1610612741,110,135,0.495,0.578,10,9,0.387096774,0.457142857,352,334,25,25,31,37,91.25,77.5,5.5,5,11.5,5.5
"51",1610612763,1610612751,22200049,7,134,124,2.5,10,12,9,0.5,0.54,0.470588235,0.310344828,7,4,340,217,18,13,43,22,83.5,94.25,4.25,8.5,10.75,11.25,4562,1610612745,1610612762,124,134,0.54,0.5,9,12,0.310344828,0.470588235,217,340,13,18,22,43,94.25,83.5,8.5,4.25,11.25,10.75
