player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Kevin Huerter,huertke01,2023,4017,1918,1.977001267308087,-1.823875359246997,.1531259080610898,3.850795029334523,-2.557237903153557,1.293557126180966,2.430300597309003,-2.060116978042913,.3701836192660903,3.041968177769766,3.041968177769766,0,2.955191405249507,-.7906254971988846,2.164565908050623,-.3746369275716713
Jay Huff,huffja01,2023,6,3,-46.81631359103714,-28.60091710145539,-75.41723069249254,-20.87030029409408,-7.450468237284646,-28.32076853137873,-44.37856875710944,-26.02348529329869,-70.40205405040814,-.1094228655386547,-.1094228655386547,0,-43.78824366063019,-36.01292149802202,-79.80116515865221,5.727831394136323
De'Andre Hunter,huntede01,2023,4037,1890,-1.316024743443014,-.6140028749243143,-1.930027618367329,-.0958177417714505,-.1782708053046582,-.2740885470761087,-1.157243647174987,-.5441068534888445,-1.701350500663832,1.013781984050698,1.013781984050698,0,-.962479442405697,-.5347161971352226,-1.49719563954092,.2588284368868449
Bones Hyland,hylanbo01,2023,1837,891,.5487856148489768,-1.99307411539302,-1.444288500544043,-3.906282012633137,-4.923636986756059,-8.829918999389195,-.4471578074721969,-2.734770538795122,-3.181928346267318,-.1975246568930421,-.1975246568930421,0,.7646968855006799,-2.18314649536085,-1.418449609860171,-.4059693994443438
Serge Ibaka,ibakase01,2023,382,185,-3.678955938155398,.9418695850374482,-2.737086353117948,-7.117277187859275,-1.237750972905855,-8.355028160765132,-4.625459396654871,.4754170269989693,-4.150042369655901,-.1310597020493977,-.1310597020493977,0,-5.111661070579557,.0479673842242229,-5.063693686355334,-.8297888110724845
Andre Iguodala,iguodan01,2023,256,113,-3.261160405110171,1.463573760924564,-1.797586644185606,7.036627226949237,3.420866061444537,10.45749328839377,-1.288445744157557,1.954418933891558,.6659731897340015,.1996774793047693,.1996774793047693,0,-.7196202464873833,.0707916445976271,-.6488286018897562,1.403497589889076
Joe Ingles,inglejo01,2023,1747,806,.2433095736974238,-.4718030775173423,-.2284935038199185,1.524191161264199,.0673672778091077,1.591558439073307,.5315670825356776,-.4489300260897099,.0826370564459677,1.172660433146093,1.172660433146093,0,.5877479945499343,-1.078817750310008,-.4910697557600735,.677788070879347
Brandon Ingram,ingrabr01,2023,2174,1051,.2855516302381748,-1.790458823499887,-1.504907193261712,.0736576158423247,-.6592528363143682,-.5855952204720434,.300955397965624,-1.660012423233572,-1.359057025267948,.7468481921384166,.7468481921384166,0,-.0297902831668332,-2.106044200959772,-2.135834484126605,.13488538789475
Kyrie Irving,irvinky01,2023,3897,1894,5.78277475462107,.0121953341255473,5.794970088746617,4.33733186179087,.1303031036713505,4.46763496546222,5.808749732170969,.0358023971276486,5.844552129298616,8.288526079992311,8.288526079992311,0,5.957117938690759,.8081869832099539,6.765304921900714,-.2090655501628871
Jonathan Isaac,isaacjo01,2023,257,124,3.393791606476836,3.578134522081922,6.971926128558758,-3.679701103738559,2.190249721478115,-1.489451382260444,2.149307302080734,3.513165280224237,5.662472582304972,.5297356754402268,.5297356754402268,0,2.10820711792536,4.025454561435894,6.133661679361254,-.4700225631452437
